ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2419273-20161016,2486174,342181,3,"SANJUSTINS KITCHEN, INC.","SANJUSTIN'S KITCHEN, INC.",157 W 75TH ST GROUND,CHICAGO,IL,60620,6,19,6-19,6,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2419273,RENEW,,08/15/2016,10/06/2016,N,10/16/2016,10/15/2018,10/06/2016,10/06/2016,AAI,,,41.758048258,-87.629453389,"(41.75804825835509, -87.62945338890275)"
2114920-20161116,2491006,350311,1,ZULLO'S INC.,ZULLO'S INC.,1103 W GRAND AVE 1ST,CHICAGO,IL,60642,27,18,27-18,12,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2114920,RENEW,,09/15/2016,10/28/2016,N,11/16/2016,11/15/2018,10/28/2016,10/31/2016,AAI,,,41.890997639,-87.654772503,"(41.89099763912711, -87.6547725026918)"
2470262-20161116,2490180,250377,2,"WISEPAK FOODS, LLC",MR PAK' S CATERING,4225 - 4229 N PULASKI RD 1ST,CHICAGO,IL,60641,39,28,39-28,17,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2470262,RENEW,,09/15/2016,11/07/2016,N,11/16/2016,11/15/2018,11/07/2016,11/08/2016,AAI,,,41.958009571,-87.727596124,"(41.958009570530066, -87.72759612387874)"
2417900-20161116,2491777,394271,2,Dining Consultants International LLC,Hero Coffee Bar,2111 W ROSCOE ST 1,CHICAGO,IL,60618,32,,32-,,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2417900,RENEW,,09/15/2016,11/07/2016,N,11/16/2016,11/15/2018,11/07/2016,11/14/2016,AAI,,,41.94307105,-87.681355224,"(41.94307105046144, -87.68135522357547)"
2368168-20160916,2482208,386962,1,LA RIPA OPERATIONS LLC,THE SOCIAL TABLE,819 W ARMITAGE AVE 1ST & 2ND,CHICAGO,IL,60614,43,3,43-3,18,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2368168,RENEW,,07/15/2016,12/21/2016,N,09/16/2016,09/15/2018,12/21/2016,12/22/2016,AAI,,,41.918057577,-87.649324568,"(41.918057576726284, -87.6493245677595)"
2488207-20160914,2488207,3746,1,"LINO'S RESTAURANT, INC.",SHAY CHICAGO,222 W ONTARIO ST 1,CHICAGO,IL,60654,42,68,42-68,18,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2488207,ISSUE,08/26/2016,08/26/2016,08/26/2016,N,09/14/2016,03/15/2018,09/14/2016,09/14/2016,AAI,,,41.893283273,-87.635119224,"(41.89328327332552, -87.63511922430564)"
2476269-20170216,2504289,358517,1,NEPTUNE STAR INC.,PAPA JOHNS PIZZA & CHRISTINE'S DAIRY DELIGHTS,1151 W TAYLOR ST 1ST,CHICAGO,IL,60607,25,27,25-27,12,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2476269,RENEW,,12/15/2016,01/25/2017,N,02/16/2017,02/15/2019,01/25/2017,01/26/2017,AAI,,,41.869314066,-87.656254399,"(41.86931406589003, -87.65625439904653)"
2506358-20170202,2506358,397053,1,TONY AND MILLIES ITALIAN ICE BAR,TONY AND MILLIES ITALIAN ICE BAR,6709 N OLMSTED AVE 1ST,CHICAGO,IL,60631,41,5,41-5,16,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2506358,ISSUE,12/27/2016,12/27/2016,12/27/2016,N,02/02/2017,08/15/2017,02/01/2017,02/02/2017,AAI,,,42.002389738,-87.817076224,"(42.002389738392516, -87.81707622356394)"
2385749-20170416,2516093,396532,1,SIDECAR LR INC.,SIDECAR LR,1614 W IRVING PARK RD,CHICAGO,IL,60613,47,25,47-25,19,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2385749,RENEW,,02/15/2017,03/11/2017,N,04/16/2017,04/15/2019,03/11/2017,03/13/2017,AAI,,31,41.954391627,-87.669666091,"(41.95439162720873, -87.66966609112927)"
2278683-20170316,2508477,221856,3,"SUR LA TABLE, INC.",SUR LA TABLE,900 N MICHIGAN AVE LOWER LEVEL L320,CHICAGO,IL,60611,42,61,42-61,18,8343,Food - Shared Kitchen - Supplemental,803,Shared Kitchen - Supplemental,2278683,RENEW,,01/15/2017,03/15/2017,N,03/16/2017,03/15/2019,03/15/2017,03/16/2017,AAI,,,41.899248597,-87.624274978,"(41.89924859703626, -87.62427497820545)"
